Date,homeTeam,homeStarter,homeSide,awayTeam,awayStarter,awaySide,Weekend,completed
9/2,MIL,"Peralta, Freddy",RHP,STL,"Pallante, Andre",RHP,FALSE,Yes
9/2,BAL,"Burnes, Corbin",RHP,CWS,"Flexen, Chris",RHP,FALSE,Yes
9/2,ARI,"Rodriguez, Eduardo",LHP,LAD,"Flaherty, Jack",RHP,FALSE,Yes
9/2,KC,"Wacha, Michael",RHP,CLE,"Williams, Gavin",RHP,FALSE,Yes
9/2,CIN,"Aguiar, Julian",RHP,HOU,"Verlander, Justin",RHP,FALSE,Yes
9/2,SD,"Musgrove, Joe",RHP,DET,"Madden, Ty",RHP,FALSE,Yes
9/2,TB,"Littell, Zack",RHP,MIN,"Woods Richardson, Simeon",RHP,FALSE,Yes
9/2,OAK,"Bido, Osvaldo",RHP,SEA,"Gilbert, Logan",RHP,FALSE,Yes
9/2,NYM,"Severino, Luis",RHP,BOS,"Bello, Brayan",RHP,FALSE,Yes
9/2,CHC,"Taillon, Jameson",RHP,PIT,"Jones, Jared",RHP,FALSE,Yes
9/2,TEX,"Leiter, Jack",RHP,NYY,"Cole, Gerrit",RHP,FALSE,Yes
9/3,BAL,"Povich, Cade",LHP,CWS,"Nastrini, Nick",RHP,FALSE,Yes
9/3,MIA,"Meyer, Max",RHP,WAS,"Corbin, Patrick",LHP,FALSE,Yes
9/3,TB,"Springs, Jeffrey",LHP,MIN,"Festa, David",RHP,FALSE,Yes
9/3,TOR,"Bassitt, Chris",RHP,PHI,"Phillips, Tyler",RHP,FALSE,Yes
9/3,NYM,"Peterson, David",LHP,BOS,"Crawford, Kutter",RHP,FALSE,Yes
9/3,ATL,"Sale, Chris",LHP,COL,"Freeland, Kyle",LHP,FALSE,Yes
9/3,KC,"Singer, Brady",RHP,CLE,"Bibee, Tanner",RHP,FALSE,Yes
9/3,CHC,"Hendricks, Kyle",RHP,PIT,"Skenes, Paul",RHP,FALSE,Yes
