name,pa,single,double,triple,home_run,strikeout,walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,r_total_stolen_base,b_hit_ground,b_hit_fly,b_hit_line_drive,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,exit_velocity_avg,launch_angle_avg,barrel,barrel_batted_rate,hard_hit_percent,straightaway_percent,linedrives_percent,hp_to_1b,sprint_speed,Dir,ER,ZR,infield,outfield,Both
Miguel Amaya,156,19,4,0,5,40,12,0.214,0.359,0.329,0.688,0,0,8,7,13,26,26,4,9,87,18.6,9,9.7,33.3,34.4,18.3,4.68,26.0,R,0.0141843971631206,0.987,TRUE,FALSE,FALSE
Nicky Lopez,262,40,8,3,1,40,26,0.231,0.307,0.326,0.633,2,6,20,3,29,22,90,24,2,86.7,0.5,2,1.1,23.7,42.6,27.9,4.24,27.7,L,0.0194174757281553,0.993,FALSE,FALSE,TRUE
Yuli Gurriel,329,50,16,3,4,44,26,0.245,0.359,0.304,0.663,0,4,32,2,39,61,73,21,29,88.6,16.5,5,1.9,34.9,34.5,23.6,4.47,27.2,R,0.00351493848857645,0.997,TRUE,FALSE,FALSE
Mark Vientos,233,31,5,1,9,71,10,0.211,0.367,0.253,0.620,0,1,19,8,19,26,61,5,10,92.5,9.5,16,10.7,51,44.3,16.8,4.75,26.3,R,0.0689655172413793,0.960,TRUE,FALSE,FALSE
Donovan Solano,450,79,26,1,5,100,40,0.282,0.391,0.369,0.760,0,0,35,15,61,53,86,32,12,90.2,13.1,18,6.1,43.7,43.4,31.9,4.75,25.4,R,0.0102669404517454,0.991,TRUE,FALSE,FALSE
Michael Taylor,388,42,14,1,21,130,26,0.220,0.442,0.278,0.720,1,13,29,23,26,43,74,20,13,88.1,13.4,31,13.5,38,40.6,20.5,4.27,28.7,R,0.0103806228373702,0.990,FALSE,TRUE,FALSE
Jackie Bradley,113,8,5,0,1,29,5,0.133,0.210,0.188,0.398,0,0,4,2,8,18,36,5,4,88.1,5.3,6,7.8,35.1,37.7,16.9,4.38,27.1,L,0,1.000,FALSE,TRUE,FALSE
Trent Grisham,555,48,31,1,13,154,75,0.198,0.352,0.315,0.667,3,15,22,19,51,71,100,24,31,90.3,18.3,38,11.9,40,33.8,23.8,4.47,27.7,L,0.0132013201320132,0.987,FALSE,TRUE,FALSE
Jeimer Candelario,576,63,39,3,22,127,53,0.251,0.471,0.336,0.807,1,8,29,32,66,75,123,30,27,88.3,14.1,30,7.9,36.4,34.6,25.1,4.45,27.5,S,0.0454545454545455,0.979,TRUE,FALSE,FALSE
Nico Hoerner,688,135,27,4,9,83,49,0.283,0.383,0.346,0.729,7,43,69,19,87,91,187,49,38,86.6,10.5,10,1.8,33.4,40.6,25.5,4.31,28.5,R,0.0364372469635628,0.987,TRUE,FALSE,FALSE
Tucupita Marcano,220,30,12,2,3,35,10,0.233,0.356,0.276,0.632,2,5,15,9,23,34,59,17,13,88.3,14.4,9,5.2,34.9,36.6,24.4,4.33,27.6,L,0.0428571428571429,0.984,TRUE,FALSE,FALSE
Curtis Mead,92,16,3,1,1,21,7,0.253,0.349,0.326,0.675,0,0,9,4,8,9,17,7,8,83.5,12.6,2,3.2,22.6,38.7,24.2,4.68,26.7,R,0.117647058823529,0.969,TRUE,FALSE,FALSE
Mike Tauchman,401,59,18,0,8,86,56,0.252,0.377,0.362,0.739,1,7,25,11,48,39,95,26,8,88.4,8.1,14,5.5,40,36.5,29.8,4.39,27.3,L,0.0240963855421687,0.977,FALSE,TRUE,FALSE
Will Brennan,455,86,24,0,5,57,16,0.266,0.356,0.299,0.655,5,13,44,11,60,56,134,45,26,85.7,9.4,9,2.4,29.2,41.1,28.1,4.33,28.3,L,0.012396694214876,0.988,FALSE,TRUE,FALSE
Kevin Smith,146,16,4,0,5,51,5,0.185,0.326,0.220,0.546,0,1,10,6,9,23,32,6,3,88,13.6,8,9,36,29.2,16.9,4.5,27.3,R,0.05,0.984,TRUE,FALSE,FALSE
Luis Campusano,174,38,7,0,7,21,7,0.319,0.491,0.356,0.847,0,0,17,9,26,21,41,15,14,88.5,13.2,11,7.7,40.6,37.1,28.7,4.93,25.8,R,0.00943396226415094,0.991,TRUE,FALSE,FALSE
Brendan Rodgers,192,32,9,1,4,41,11,0.258,0.388,0.313,0.701,0,0,18,12,16,20,55,12,4,88.3,4.8,15,10.9,40.1,45.3,20.4,4.59,26.3,R,0,1.000,TRUE,FALSE,FALSE
Corbin Carroll,645,96,30,10,25,125,57,0.285,0.506,0.362,0.868,5,54,59,35,66,73,145,38,32,90,11,34,7.6,40.9,36.9,23.3,4.08,30.1,L,0.00341296928327645,0.997,FALSE,TRUE,FALSE
Yainer Diaz,377,55,22,0,23,74,11,0.282,0.538,0.308,0.846,0,0,27,32,41,53,100,23,10,90.3,11.5,35,12.2,43.9,35.5,22.6,4.43,27.6,R,0.013986013986014,0.987,TRUE,FALSE,FALSE
Jace Peterson,430,59,10,4,6,101,47,0.211,0.307,0.304,0.611,2,15,25,16,37,65,95,18,19,85.7,14.4,13,4.7,28.1,36.7,20.5,4.33,28.0,L,0.0462962962962963,0.983,FALSE,FALSE,TRUE
Yasmani Grandal,405,63,14,0,8,86,36,0.234,0.339,0.309,0.648,0,0,30,11,44,60,96,24,13,87.9,10.8,13,4.7,34.4,37.6,24.7,5.14,22.8,S,0.0053475935828877,0.995,TRUE,FALSE,FALSE
Jeff McNeil,648,119,25,4,10,65,39,0.270,0.378,0.333,0.711,0,10,58,15,84,101,164,51,52,86,14.4,7,1.3,27.4,35.4,25.7,4.15,27.4,L,0.0177304964539007,0.990,FALSE,FALSE,TRUE
Anthony Santander,656,82,41,1,28,152,55,0.257,0.472,0.325,0.797,1,5,53,44,55,100,102,31,57,90.6,20.2,45,10.2,46,33,19.6,4.65,26.7,S,0.00380228136882129,0.996,FALSE,FALSE,TRUE
Will Smith,554,79,21,2,19,89,63,0.261,0.438,0.359,0.797,0,3,40,28,51,97,106,39,21,89.3,15.6,26,6.7,41.6,36.2,24,4.49,27.2,R,0.00426894343649947,0.996,TRUE,FALSE,FALSE
Ryan Jeffers,335,48,15,2,14,93,33,0.276,0.490,0.369,0.859,2,3,31,21,27,37,50,16,16,90.5,17.2,23,11.6,42.7,33.7,22.1,4.68,26.5,R,0.00444444444444444,0.996,TRUE,FALSE,FALSE
Cal Raleigh,569,65,23,1,30,158,54,0.232,0.456,0.306,0.762,0,0,28,33,58,92,85,21,39,89.5,20.3,45,12.6,41,29.2,22.2,4.56,27.0,S,0.00923361034164358,0.991,TRUE,FALSE,FALSE
Connor Wong,403,51,25,2,9,134,22,0.235,0.385,0.287,0.672,2,8,33,14,40,47,72,14,21,89.1,15.5,22,9.1,37.8,33.6,22.4,4.41,28.3,R,0.0115303983228512,0.989,TRUE,FALSE,FALSE
Randy Arozarena,654,95,19,3,23,156,80,0.254,0.425,0.364,0.789,10,22,56,26,58,75,117,31,33,91.7,11.3,49,12.3,48.3,43.5,23.3,4.25,28.4,R,0,1.000,FALSE,TRUE,FALSE
Dansby Swanson,638,88,25,3,22,154,66,0.244,0.416,0.328,0.744,1,9,45,29,63,75,137,36,26,89.3,13,45,10.9,39.7,37,24.2,4.29,28.4,R,0.0588235294117647,0.981,TRUE,FALSE,FALSE
Giancarlo Stanton,415,34,13,0,24,124,41,0.191,0.420,0.275,0.695,0,0,18,16,37,49,88,17,22,93.3,12.5,39,15.7,48.4,37.9,22.2,5.02,24.4,R,0,1.000,FALSE,TRUE,FALSE
Josh Naylor,495,91,31,0,17,68,33,0.308,0.489,0.354,0.843,3,10,44,32,63,68,125,29,29,89.1,12.3,32,8.2,41.2,33.8,23.8,4.66,25.8,L,0.00587371512481645,0.995,FALSE,FALSE,TRUE
Jesse Winker,197,27,5,0,1,51,26,0.199,0.247,0.320,0.567,0,0,9,2,22,22,36,12,12,86.8,13.6,5,4.3,31.9,36.2,30.2,5.02,23.5,L,0,1.000,FALSE,TRUE,FALSE
Christian Walker,661,79,36,2,33,127,62,0.258,0.497,0.333,0.830,0,11,43,55,52,96,136,37,43,88,15.8,53,11.4,40.4,35,19.4,4.72,26.4,R,0.00186046511627907,0.998,TRUE,FALSE,FALSE
Jake Marisnick,83,11,3,2,2,21,3,0.237,0.408,0.280,0.688,3,2,2,5,11,7,17,4,11,88.5,21.9,3,5.3,36.8,43.9,26.3,4.38,28.8,R,0.0128205128205128,0.987,FALSE,TRUE,FALSE
Pablo Reyes,185,37,9,0,2,21,14,0.287,0.377,0.339,0.716,2,7,20,6,22,26,45,15,16,88.1,14.7,6,4,36,40,24.7,4.38,27.9,R,0.102941176470588,0.961,TRUE,FALSE,FALSE
Jon Singleton,105,10,3,0,2,23,13,0.165,0.264,0.267,0.531,0,0,4,3,8,19,21,6,8,88.9,17.5,4,5.8,43.5,34.8,20.3,4.57,26.0,L,0.00806451612903226,0.993,TRUE,FALSE,FALSE
Randal Grichuk,471,67,31,2,16,96,29,0.267,0.459,0.321,0.780,2,2,33,26,57,57,106,32,27,89.6,14,24,7.1,45.3,31.5,26.8,4.59,27.4,R,0.0196078431372549,0.982,FALSE,TRUE,FALSE
Nick Madrigal,294,52,16,1,2,24,10,0.263,0.352,0.311,0.663,2,10,30,9,32,33,111,27,8,86.2,3.7,2,0.8,27.5,44.2,23.5,4.27,28.0,R,0.0677966101694915,0.981,TRUE,FALSE,FALSE
