Name,PA,1B,2B,3B,HR,BB,SO,SB,CS,Dir
Ross Friedrick,13,6,0,0,1,1,0,0,0,
Fernando Tatis,39,8,2,0,7,6,3,2,0,
Brandon Marsh,10,2,1,0,0,4,1,2,0,
Riley Greene,12,4,1,0,1,0,2,0,0,
Nick Schwartz,29,9,1,0,1,4,3,0,0,
Ramon Laureano,20,4,2,0,1,4,3,1,0,
Gabriel Moreno,11,2,2,0,0,1,1,0,0,
Kolten Wong,19,4,2,0,1,2,2,0,0,
Eduarlin Tejeda,16,4,2,0,0,1,2,1,0,
Nick Madrigal,70,15,6,3,1,8,7,0,0,
Tucupita Marcano,48,10,7,1,1,3,8,3,0,
Alberto Barriga,35,10,0,1,1,4,5,3,3,
Rayner Arias,76,12,6,2,4,15,11,4,2,R
Yoan Moncada,50,12,4,0,2,6,13,0,0,
Cole Turney,66,12,5,2,2,8,19,2,0,
Esteury Ruiz,21,5,1,1,1,1,5,3,0,
Ryan Noda,18,0,2,0,2,8,3,0,0,
Zach Neto,50,9,2,0,5,7,12,3,0,
Cole Roberts,68,17,3,0,2,9,7,4,1,
Tre' Morgan,56,15,2,1,1,8,3,4,1,L
Anthony Sherwin,33,6,3,0,0,9,7,2,1,
Stiven Flores,147,41,8,0,1,15,7,7,0,
Yeison Santana,19,5,1,1,0,0,4,0,1,
Jason Ollarve,19,6,1,0,0,0,3,0,0,
Oscar Colina,67,15,3,1,0,11,10,5,3,
Carlos Perez,15,3,2,0,0,1,0,0,0,R
Seth Brown,14,5,0,0,0,1,3,0,0,
Felix Salguera,16,4,1,0,0,2,0,0,0,
TJayy Walton,17,2,2,1,0,3,6,0,1,
Braylen Wimmer,54,11,5,1,1,5,14,2,0,
Dameury Pena,139,36,8,3,0,14,9,13,4,
Franklin Lopez,143,28,13,0,6,9,19,1,0,
Samuel Reyes,46,12,2,0,0,7,6,1,0,
Logan O'Hoppe,28,6,3,0,0,4,6,0,0,
Alfredo Espinoza,51,14,3,1,0,2,12,1,0,
Gabriel Gomes,49,9,2,0,1,15,7,3,0,
Darius Perry,18,4,1,1,0,0,4,0,0,
Mikey Kane,28,9,0,0,0,4,4,1,0,
Colt Emerson,114,22,10,0,2,17,20,8,0,R
Everett Cooper,87,26,2,0,0,9,10,6,3,
Angelo DiSpigna,68,10,5,4,0,14,12,0,0,
Carlos Gutierrez,100,25,7,0,0,14,17,10,1,
Cesar Quintas,168,37,10,0,1,22,39,3,3,
Brandon Pimentel,41,7,4,1,1,4,8,0,0,
Kyle Lewis,293,59,16,0,17,39,58,0,0,
Wade Meckler,363,88,17,4,6,49,58,13,4,L
Kevyn Castillo,234,49,10,7,3,40,36,23,9,
Kendall George,121,32,5,0,0,17,20,17,6,L
Alan Trejo,54,11,4,1,1,7,12,2,1,
Larry Martinez,49,13,4,0,0,2,5,2,1,
Raudi Rodriguez,41,12,1,1,0,3,7,1,0,
Matt Archer,60,11,5,1,1,6,8,3,0,
Nathan Lukes,222,52,16,1,5,17,25,3,1,
Joshua Palacios,127,26,6,1,8,13,13,5,1,
Edward Olivares,59,11,5,0,3,3,11,4,1,
Nolan Schanuel,97,21,4,1,1,21,10,2,0,L
Michael Stefanic,455,112,20,2,5,60,33,8,7,
Victor Robles,14,1,1,0,2,3,3,0,0,
Michael Baez,16,3,0,0,1,3,3,0,0,
Jose Astudillo,102,25,6,2,0,8,5,10,1,
Kyle Teel,114,25,6,0,2,21,22,3,0,L
Walker Jenkins,115,26,5,4,3,9,14,6,3,L
Justin Bench,114,27,5,1,1,11,13,6,1,
Quincy Scott,109,31,2,1,0,11,31,2,0,
Chad Wallach,43,10,1,0,2,6,7,1,0,
Pedro Dalmagro,80,18,5,2,1,7,12,2,0,
